	timestep	Q_extracted [W]	Q_losses [W]	T_borehole-wall [°C]	T_surface [°C]	T_ambient [°C]	u_wind [m/s]	Snowfall rate [mm/h]	Snow heigth [mm]
0	1.0	73.23055204601492	1.1641502248698012	9.965972182691191	8.44641915424231	9.2	2.0	0.0	0.0
1	2.0	89.63428621794176	5.673853607397565	9.872500673126915	8.012565888124305	8.1	1.5	0.0	0.0
2	3.0	97.23808582137353	7.8266540611694655	9.769985313904753	7.75226970665936	7.5	1.7	0.0	0.0
3	4.0	105.548258173092	9.912097458806263	9.671112456241854	7.4809586082461905	6.9	2.2	0.0	0.0
4	5.0	109.31619515753547	11.702076853964025	9.57746144279394	7.3091219209811795	6.4	1.2	0.0	0.0
5	6.0	110.11561485034174	11.703381467405183	9.495345998282351	7.210418309628487	6.3	1.5	0.0	0.0
6	7.0	92.62551357434639	6.664970242430273	9.425771617261569	7.503768085524021	7.4	1.4	0.0	0.0
7	8.0	67.6801791028912	0.0	9.393761654264436	7.989380310025238	9.1	1.4	0.0	0.0
8	9.0	47.76138658588435	0.0	9.390063033773368	8.3990018222739	11.1	1.2	0.0	0.0
9	10.0	31.622953869047596	0.0	9.412426386015735	8.75624185677695	13.0	1.4	0.0	0.0
10	11.0	16.665280435090683	0.0	9.446709517034028	9.100900607397794	14.8	1.4	0.0	0.0
11	12.0	0.10644752692743764	0.0	9.495576686840359	9.493367872931488	16.3	1.8	0.0	0.0
12	13.0	0.0	0.0	9.54598756921213	10.770554315476192	17.4	2.0	0.0	0.0
13	14.0	0.0	0.0	9.590126361108043	11.89841833905147	18.2	2.6	0.0	0.0
14	15.0	0.0	0.0	9.62449840937728	12.314970362964335	18.6	2.8	0.0	0.0
15	16.0	0.0	0.0	9.655749026657515	11.818621061886848	18.5	2.4	0.0	0.0
16	17.0	0.0	0.0	9.680705114611055	10.593898981757048	17.9	1.7	0.0	0.0
17	18.0	2.377108134920635	0.0	9.700097396555046	9.650771783618257	16.7	1.1	0.0	0.0
18	19.0	17.008366106859388	0.0	9.707171003023467	9.354242976338572	15.1	1.1	0.0	0.0
19	20.0	20.509858630952376	0.0	9.703703483414525	9.278118574862438	14.4	1.1	0.0	0.0
20	21.0	22.3077876984127	0.0	9.695595280219633	9.232702875232468	13.6	1.7	0.0	0.0
